Player,Nation,Squad,Pos,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,npxG,xAG,PrgC_standard,PrgP_standard,PrgR_standard,Gls_per90,Ast_per90,xG_per90,xAG_per90,GA90,Save%,CS%,PK Save%,SoT%,SoT/90,G/Sh,Dist,Total Cmp,Total Cmp%,TotDist_passing,Short Cmp%,Medium Cmp%,Long Cmp%,KP,1/3_passing,PPA,CrsPA,PrgP_passing,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att_defense,Lost_defense,Blocks,Sh_defense,Pass_defense,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att (Take-Ons),Succ%,Tkld%,Carries,TotDist (Carries),PrgDist (Carries),PrgC_possession,1/3 (Carries),CPA,Mis,Dis,Rec,PrgR (Receiving),Fls,Fld,Off,Crs,Recov,Won,Lost_misc,Won%,Transfer_Value
Bruno Fernandes,pt POR,Manchester Utd,MF,30.0,33,32,2758,8,9,4,2,9.5,7.1,7.6,65,281,118,0.26,0.29,0.31,0.25,N/a,N/a,N/a,N/a,30.1,0.82,0.06,21.9,1522,75.2,26743,86.7,80.4,52.6,84,176,73,11,281,169,5.51,12,0.39,76,47,75,46,32,4,28,25,2394,59,398,1130,888,71,65,41.5,49.2,1379,6488,3436,65,60,11,38,37,1665,118,26,37,2,172,192,21,28,42.9,60.0
Bukayo Saka,eng ENG,Arsenal,"FW,MF",23.0,22,18,1539,6,10,3,0,6.2,5.4,6.8,82,62,233,0.35,0.58,0.36,0.4,N/a,N/a,N/a,N/a,34.5,1.17,0.09,15.6,488,75.2,7524,90.1,73.1,47.7,50,13,32,10,62,102,5.97,22,1.29,24,13,22,11,21,0,21,3,875,6,52,192,639,146,84,44.0,41.7,559,3750,2130,82,28,45,29,38,636,233,14,38,5,110,65,8,19,29.6,120.0
Cole Palmer,eng ENG,Chelsea,MF,22.0,33,32,2831,14,8,6,0,15.8,12.7,9.3,103,194,165,0.45,0.25,0.5,0.3,N/a,N/a,N/a,N/a,36.0,1.27,0.1,20.3,1019,76.9,19338,85.9,84.8,59.6,78,145,61,17,194,180,5.72,14,0.45,25,16,21,13,14,1,13,8,1650,20,133,735,804,126,103,45.6,39.8,1046,6961,3306,103,66,35,61,34,1219,165,12,55,6,133,93,1,7,12.5,80.0
Declan Rice,eng ENG,Arsenal,MF,26.0,33,31,2645,3,7,7,1,3.4,3.4,6.5,88,180,92,0.1,0.24,0.12,0.22,N/a,N/a,N/a,N/a,25.0,0.37,0.07,19.4,1304,83.5,22238,92.0,90.5,48.9,56,126,35,5,180,106,3.61,10,0.34,52,24,37,21,24,11,13,25,1839,71,301,864,693,77,28,46.4,50.0,977,6156,3268,88,54,16,36,29,1205,92,20,16,2,157,143,31,24,56.4,100.0
Dejan Kulusevski,se SWE,Tottenham,"MF,FW",25.0,30,25,2281,7,4,3,0,4.2,4.2,6.1,118,122,207,0.28,0.16,0.17,0.24,N/a,N/a,N/a,N/a,37.0,0.67,0.15,14.8,644,73.9,9046,86.2,78.1,40.3,64,61,52,6,122,125,4.93,9,0.35,43,23,49,30,27,4,23,13,1233,21,143,413,701,154,111,33.3,59.5,801,6004,3164,118,67,39,74,72,874,207,43,33,5,88,115,10,14,41.7,55.0
Diogo Jota,pt POR,Liverpool,FW,28.0,23,13,1097,6,3,2,0,7.3,7.3,1.8,36,33,86,0.49,0.25,0.6,0.15,N/a,N/a,N/a,N/a,28.3,1.07,0.13,12.5,201,69.6,3050,76.1,74.2,61.9,11,29,3,1,33,35,2.87,9,0.74,14,8,19,12,9,0,9,7,448,5,30,185,240,90,30,36.7,60.0,247,1440,753,36,21,20,36,21,311,86,18,12,1,8,40,21,30,41.2,50.0
Dominik Szoboszlai,hu HUN,Liverpool,MF,24.0,32,26,2257,5,5,6,0,7.1,7.1,6.2,65,114,120,0.2,0.2,0.28,0.25,N/a,N/a,N/a,N/a,32.3,0.8,0.08,18.5,1015,84.5,15678,89.2,88.1,71.9,51,78,31,5,114,108,4.31,14,0.56,31,20,39,24,35,4,31,9,1435,23,183,696,574,96,35,54.3,37.1,732,3740,2101,65,46,17,34,21,980,120,37,23,4,34,120,18,22,45.0,60.0
Eberechi Eze,eng ENG,Crystal Palace,"MF,FW",26.0,30,28,2337,4,8,1,0,8.2,7.4,5.2,65,85,141,0.15,0.31,0.31,0.2,N/a,N/a,N/a,N/a,25.8,0.92,0.04,21.5,707,74.6,11848,85.3,83.4,43.2,53,46,32,3,85,119,4.58,9,0.35,37,22,35,18,26,0,26,11,1289,15,172,611,537,86,125,48.8,45.6,771,4647,2178,65,43,21,52,44,840,141,11,46,9,100,128,6,36,14.3,55.0
Ederson,br BRA,Manchester City,GK,31.0,23,23,2050,0,4,3,0,0.0,0.0,1.5,0,1,0,0.0,0.18,0.0,0.07,1.1,68.5,34.8,0.0,N/a,0.0,N/a,N/a,730,88.2,17943,100.0,98.4,66.3,4,20,1,0,1,6,0.26,4,0.18,0,0,2,2,0,0,0,1,875,619,866,9,0,0,0,N/a,N/a,590,2718,1732,0,0,0,1,0,560,0,1,0,0,0,38,4,1,80.0,40.0
Emiliano Martínez,ar ARG,Aston Villa,GK,32.0,34,34,2970,0,0,4,0,0.0,0.0,0.5,0,4,0,0.0,0.0,0.0,0.02,1.36,66.7,17.6,50.0,N/a,0.0,N/a,N/a,1018,79.2,26654,97.8,98.2,50.4,2,24,0,0,4,6,0.18,1,0.03,3,3,2,0,1,0,1,0,1347,1015,1328,19,0,0,1,100.0,0.0,817,4133,2623,0,0,0,1,0,736,0,1,5,0,0,29,8,1,88.9,30.0
